claim_id,policy_id,claimant_party_id,loss_date,report_date,loss_type,status,catastrophe_flag
CLM-0001,POL-0010,PT-0010,2024-07-02,2024-07-03,liability_pd,closed,true
CLM-0002,POL-0003,PT-0003,2024-05-27,2024-05-30,liability_bi,closed,false
CLM-0003,POL-0004,PT-0004,2024-06-22,2024-06-29,liability_pd,closed,false
CLM-0004,POL-0003,PT-0003,2024-01-23,2024-01-24,comprehensive,closed,true
CLM-0005,POL-0020,PT-0020,2023-12-03,2023-12-04,liability_bi,open,false
CLM-0006,POL-0019,PT-0019,2024-01-22,2024-01-29,liability_bi,closed,false
CLM-0007,POL-0003,PT-0003,2024-04-21,2024-04-22,comprehensive,open,false
CLM-0008,POL-0018,PT-0018,2024-07-01,2024-07-02,liability_bi,closed,false
CLM-0009,POL-0007,PT-0007,2024-10-24,2024-11-14,liability_pd,open,false
CLM-0010,POL-0017,PT-0017,2024-12-21,2024-12-28,comprehensive,closed,false
CLM-0011,POL-0010,PT-0010,2024-11-07,2024-11-08,comprehensive,closed,false
CLM-0012,POL-0013,PT-0013,2024-03-09,2024-03-30,comprehensive,closed,false
CLM-0013,POL-0005,PT-0005,2023-10-04,2023-10-05,collision,open,false
CLM-0014,POL-0003,PT-0003,2024-02-17,2024-02-18,liability_bi,open,true
CLM-0015,POL-0013,PT-0013,2024-10-24,2024-10-25,liability_pd,closed,false
CLM-0016,POL-0013,PT-0013,2024-03-03,2024-03-04,liability_pd,closed,false
CLM-0017,POL-0012,PT-0012,2024-01-22,2024-01-25,liability_pd,open,false
CLM-0018,POL-0010,PT-0010,2025-01-14,2025-01-14,liability_pd,open,false
CLM-0019,POL-0013,PT-0013,2024-08-04,2024-08-11,liability_bi,closed,false
CLM-0020,POL-0012,PT-0012,2024-02-01,2024-02-02,liability_pd,open,false
