claim_transaction_id,claim_id,coverage_id,transaction_type,booked_date,amount
TXN-00001,CLM-0001,COV-00071,reserve_set,2024-08-20,2251.01
TXN-00002,CLM-0001,COV-00071,payment_issued,2024-09-05,1078.16
TXN-00003,CLM-0002,COV-00040,reserve_set,2025-10-15,8767.74
TXN-00004,CLM-0002,COV-00040,reopened,2025-11-17,0.0
TXN-00005,CLM-0003,COV-00065,reserve_set,2025-05-11,12826.44
TXN-00006,CLM-0003,COV-00065,reserve_change,2025-06-09,13870.77
TXN-00007,CLM-0003,COV-00065,reserve_change,2025-07-27,12817.92
TXN-00008,CLM-0003,COV-00065,payment_issued,2025-09-28,6617.85
TXN-00009,CLM-0003,COV-00065,payment_issued,2025-11-05,4513.85
TXN-00010,CLM-0004,COV-00124,reserve_set,2024-11-01,3137.35
TXN-00011,CLM-0004,COV-00124,payment_issued,2024-12-07,959.59
TXN-00012,CLM-0004,COV-00124,reserve_change,2024-12-27,2782.54
TXN-00013,CLM-0004,COV-00124,reserve_change,2025-01-15,2794.39
TXN-00014,CLM-0004,COV-00124,payment_issued,2025-03-26,817.61
TXN-00015,CLM-0004,COV-00124,payment_issued,2025-05-11,1066.37
TXN-00016,CLM-0005,COV-00062,reserve_set,2024-09-28,5882.94
TXN-00017,CLM-0005,COV-00062,reserve_change,2024-10-26,5194.41
TXN-00018,CLM-0005,COV-00062,payment_issued,2024-12-14,2751.46
TXN-00019,CLM-0005,COV-00062,payment_issued,2025-01-29,2012.73
TXN-00020,CLM-0005,COV-00062,payment_issued,2025-03-18,2997.54
TXN-00021,CLM-0005,COV-00062,payment_issued,2025-05-31,1948.44
TXN-00022,CLM-0006,COV-00160,reserve_set,2024-02-13,17371.53
TXN-00023,CLM-0006,COV-00160,reopened,2024-02-25,0.0
TXN-00024,CLM-0006,COV-00160,payment_issued,2024-04-09,8776.85
TXN-00025,CLM-0006,COV-00160,payment_issued,2024-05-11,8001.39
TXN-00026,CLM-0006,COV-00160,reserve_change,2024-06-25,18981.26
TXN-00027,CLM-0006,COV-00160,reopened,2024-09-05,0.0
TXN-00028,CLM-0007,COV-00132,reserve_set,2024-12-23,12945.62
TXN-00029,CLM-0007,COV-00132,payment_issued,2025-02-07,4662.77
TXN-00030,CLM-0008,COV-00148,reserve_set,2024-02-07,8168.89
TXN-00031,CLM-0008,COV-00148,payment_issued,2024-04-22,1637.54
TXN-00032,CLM-0008,COV-00148,payment_issued,2024-06-30,2246.71
TXN-00033,CLM-0008,COV-00148,payment_issued,2024-08-25,3262.63
TXN-00034,CLM-0009,COV-00122,reserve_set,2024-02-22,13021.13
TXN-00035,CLM-0009,COV-00122,reserve_change,2024-03-18,14518.7
TXN-00036,CLM-0009,COV-00122,payment_issued,2024-04-27,4708.42
TXN-00037,CLM-0010,COV-00012,reserve_set,2025-07-19,15230.36
TXN-00038,CLM-0010,COV-00012,payment_voided,2025-09-30,1428.29
TXN-00039,CLM-0011,COV-00068,reserve_set,2025-04-30,4645.07
TXN-00040,CLM-0011,COV-00068,payment_issued,2025-07-14,1182.65
TXN-00041,CLM-0011,COV-00068,reserve_change,2025-08-01,5550.87
TXN-00042,CLM-0012,COV-00111,reserve_set,2024-12-21,11068.74
TXN-00043,CLM-0012,COV-00111,payment_issued,2025-03-03,4190.83
TXN-00044,CLM-0012,COV-00111,payment_issued,2025-05-13,4657.36
TXN-00045,CLM-0012,COV-00111,payment_issued,2025-07-10,3638.42
TXN-00046,CLM-0013,COV-00052,reserve_set,2024-09-01,13136.26
TXN-00047,CLM-0013,COV-00052,payment_issued,2024-10-29,6114.61
TXN-00048,CLM-0013,COV-00052,payment_issued,2024-11-27,2821.77
TXN-00049,CLM-0013,COV-00052,reopened,2025-02-09,0.0
TXN-00050,CLM-0013,COV-00052,payment_issued,2025-04-02,7220.69
TXN-00051,CLM-0014,COV-00124,reserve_set,2024-04-12,4046.96
TXN-00052,CLM-0014,COV-00124,payment_issued,2024-06-21,1238.41
TXN-00053,CLM-0014,COV-00124,payment_issued,2024-08-20,2188.22
TXN-00054,CLM-0015,COV-00147,reserve_set,2025-01-27,2628.94
TXN-00055,CLM-0015,COV-00147,reopened,2025-03-14,0.0
TXN-00056,CLM-0015,COV-00147,payment_issued,2025-04-04,629.31
TXN-00057,CLM-0015,COV-00147,payment_issued,2025-04-26,1255.58
TXN-00058,CLM-0015,COV-00147,reserve_change,2025-05-09,3149.66
TXN-00059,CLM-0016,COV-00075,reserve_set,2025-01-03,14576.57
TXN-00060,CLM-0016,COV-00075,reserve_change,2025-02-03,16103.41
TXN-00061,CLM-0016,COV-00075,payment_issued,2025-04-02,4771.95
TXN-00062,CLM-0017,COV-00154,reserve_set,2024-05-27,16331.99
TXN-00063,CLM-0017,COV-00154,payment_voided,2024-08-04,2476.61
TXN-00064,CLM-0017,COV-00154,reserve_change,2024-09-03,20784.38
TXN-00065,CLM-0017,COV-00154,payment_issued,2024-10-21,7684.48
TXN-00066,CLM-0018,COV-00067,reserve_set,2025-04-12,7792.51
TXN-00067,CLM-0018,COV-00067,payment_issued,2025-06-06,4652.73
TXN-00068,CLM-0018,COV-00067,reserve_change,2025-07-23,9468.05
TXN-00069,CLM-0018,COV-00067,reserve_change,2025-09-21,10253.56
TXN-00070,CLM-0018,COV-00067,payment_voided,2025-10-07,1658.78
TXN-00071,CLM-0019,COV-00071,reserve_set,2024-08-23,13395.32
TXN-00072,CLM-0019,COV-00071,payment_issued,2024-09-19,7519.62
TXN-00073,CLM-0019,COV-00071,payment_issued,2024-10-04,5041.05
TXN-00074,CLM-0020,COV-00154,reserve_set,2025-01-08,4813.11
TXN-00075,CLM-0020,COV-00154,payment_issued,2025-03-05,2721.31
TXN-00076,CLM-0020,COV-00154,reserve_change,2025-04-05,5835.15
TXN-00077,CLM-0020,COV-00154,reopened,2025-06-15,0.0
