coverage_id,policy_version_id,coverage_type,limit_amount,deductible_amount
COV-00001,PV-00001,bodily_injury_liability,250000,250
COV-00002,PV-00001,property_damage_liability,250000,250
COV-00003,PV-00001,collision,100000,500
COV-00004,PV-00001,comprehensive,50000,250
COV-00005,PV-00002,bodily_injury_liability,25000,250
COV-00006,PV-00002,property_damage_liability,25000,250
COV-00007,PV-00002,collision,50000,250
COV-00008,PV-00002,comprehensive,250000,500
COV-00009,PV-00003,bodily_injury_liability,25000,250
COV-00010,PV-00003,property_damage_liability,250000,250
COV-00011,PV-00003,collision,250000,500
COV-00012,PV-00003,comprehensive,250000,500
COV-00013,PV-00004,bodily_injury_liability,25000,1000
COV-00014,PV-00004,property_damage_liability,100000,250
COV-00015,PV-00004,collision,25000,1000
COV-00016,PV-00004,comprehensive,250000,1000
COV-00017,PV-00005,bodily_injury_liability,50000,250
COV-00018,PV-00005,property_damage_liability,25000,250
COV-00019,PV-00005,collision,25000,1000
COV-00020,PV-00005,comprehensive,25000,1000
COV-00021,PV-00006,bodily_injury_liability,25000,1000
COV-00022,PV-00006,property_damage_liability,25000,500
COV-00023,PV-00006,collision,100000,500
COV-00024,PV-00006,comprehensive,50000,1000
COV-00025,PV-00007,bodily_injury_liability,100000,250
COV-00026,PV-00007,property_damage_liability,25000,500
COV-00027,PV-00007,collision,25000,250
COV-00028,PV-00007,comprehensive,50000,1000
COV-00029,PV-00008,bodily_injury_liability,100000,1000
COV-00030,PV-00008,property_damage_liability,25000,1000
COV-00031,PV-00008,collision,100000,1000
COV-00032,PV-00008,comprehensive,25000,250
COV-00033,PV-00009,bodily_injury_liability,50000,500
COV-00034,PV-00009,property_damage_liability,100000,1000
COV-00035,PV-00009,collision,50000,1000
COV-00036,PV-00009,comprehensive,100000,250
COV-00037,PV-00010,bodily_injury_liability,250000,500
COV-00038,PV-00010,property_damage_liability,25000,250
COV-00039,PV-00010,collision,250000,500
COV-00040,PV-00010,comprehensive,25000,250
COV-00041,PV-00011,bodily_injury_liability,25000,250
COV-00042,PV-00011,property_damage_liability,25000,1000
COV-00043,PV-00011,collision,50000,1000
COV-00044,PV-00011,comprehensive,25000,500
COV-00045,PV-00012,bodily_injury_liability,250000,250
COV-00046,PV-00012,property_damage_liability,25000,500
COV-00047,PV-00012,collision,100000,250
