policy_id,policy_number,line_of_business,original_effective_date,current_term_start,current_term_end,status
POL-0001,PN-100001,personal_auto,2023-12-21,2023-12-21,2024-12-19,active
POL-0002,PN-100002,personal_auto,2024-04-10,2024-04-10,2024-10-09,active
POL-0003,PN-100003,personal_auto,2024-01-23,2024-01-23,2024-07-23,non_renewed
POL-0004,PN-100004,personal_auto,2024-01-19,2024-01-19,2024-07-19,active
POL-0005,PN-100005,personal_auto,2023-08-05,2023-08-05,2024-08-03,active
POL-0006,PN-100006,personal_auto,2023-09-05,2023-09-05,2024-03-05,active
POL-0007,PN-100007,personal_auto,2024-06-06,2024-06-06,2024-12-05,active
POL-0008,PN-100008,personal_auto,2024-01-27,2024-01-27,2025-01-25,active
POL-0009,PN-100009,personal_auto,2023-11-13,2023-11-13,2024-05-13,active
POL-0010,PN-100010,personal_auto,2024-04-01,2024-04-01,2025-03-31,active
POL-0011,PN-100011,personal_auto,2024-02-01,2024-02-01,2024-08-01,active
POL-0012,PN-100012,personal_auto,2023-08-13,2023-08-13,2024-02-11,cancelled
POL-0013,PN-100013,personal_auto,2023-11-03,2023-11-03,2024-11-01,active
POL-0014,PN-100014,personal_auto,2023-11-04,2023-11-04,2024-11-02,active
POL-0015,PN-100015,personal_auto,2024-04-25,2024-04-25,2025-04-24,active
POL-0016,PN-100016,personal_auto,2023-10-17,2023-10-17,2024-04-16,active
POL-0017,PN-100017,personal_auto,2024-04-14,2024-04-14,2025-04-13,active
POL-0018,PN-100018,personal_auto,2024-03-07,2024-03-07,2024-09-05,active
POL-0019,PN-100019,personal_auto,2023-11-15,2023-11-15,2024-05-15,active
POL-0020,PN-100020,personal_auto,2023-08-13,2023-08-13,2024-02-11,active
