policy_party_role_id,party_id,policy_id,claim_id,role_type,effective_date,end_date
ROLE-00001,PT-0001,POL-0001,,named_insured,2023-12-21,
ROLE-00002,PT-0023,POL-0001,,driver,2023-12-21,
ROLE-00003,PT-0002,POL-0002,,named_insured,2024-04-10,
ROLE-00004,PT-0003,POL-0003,,named_insured,2024-01-23,
ROLE-00005,PT-0004,POL-0004,,named_insured,2024-01-19,
ROLE-00006,PT-0005,POL-0005,,named_insured,2023-08-05,
ROLE-00007,PT-0006,POL-0006,,named_insured,2023-09-05,
ROLE-00008,PT-0007,POL-0007,,named_insured,2024-06-06,
ROLE-00009,PT-0024,POL-0007,,driver,2024-06-06,
ROLE-00010,PT-0008,POL-0008,,named_insured,2024-01-27,
ROLE-00011,PT-0009,POL-0009,,named_insured,2023-11-13,
ROLE-00012,PT-0008,POL-0009,,driver,2023-11-13,
ROLE-00013,PT-0010,POL-0010,,named_insured,2024-04-01,
ROLE-00014,PT-0007,POL-0010,,driver,2024-04-01,
ROLE-00015,PT-0011,POL-0011,,named_insured,2024-02-01,
ROLE-00016,PT-0025,POL-0011,,driver,2024-02-01,
ROLE-00017,PT-0012,POL-0012,,named_insured,2023-08-13,
ROLE-00018,PT-0013,POL-0013,,named_insured,2023-11-03,
ROLE-00019,PT-0014,POL-0014,,named_insured,2023-11-04,
ROLE-00020,PT-0007,POL-0014,,driver,2023-11-04,
ROLE-00021,PT-0015,POL-0015,,named_insured,2024-04-25,
ROLE-00022,PT-0016,POL-0016,,named_insured,2023-10-17,
ROLE-00023,PT-0020,POL-0016,,driver,2023-10-17,
ROLE-00024,PT-0017,POL-0017,,named_insured,2024-04-14,
ROLE-00025,PT-0018,POL-0018,,named_insured,2024-03-07,
ROLE-00026,PT-0019,POL-0019,,named_insured,2023-11-15,
ROLE-00027,PT-0004,POL-0019,,driver,2023-11-15,
ROLE-00028,PT-0020,POL-0020,,named_insured,2023-08-13,
ROLE-00029,PT-0010,POL-0010,CLM-0001,claimant,2024-07-02,
ROLE-00030,PT-0003,POL-0003,CLM-0002,claimant,2024-05-27,
ROLE-00031,PT-0004,POL-0004,CLM-0003,claimant,2024-06-22,
ROLE-00032,PT-0001,POL-0001,,additional_insured,2023-12-21,
ROLE-00033,PT-0002,POL-0002,,additional_insured,2024-04-10,
ROLE-00034,PT-0005,POL-0005,,additional_insured,2023-08-05,
ROLE-00035,PT-0006,POL-0006,,beneficiary,2023-09-05,
ROLE-00036,PT-0008,POL-0008,,beneficiary,2024-01-27,
ROLE-00037,PT-0009,POL-0009,,beneficiary,2023-11-13,
ROLE-00038,PT-0011,POL-0011,,additional_insured,2024-02-01,
