policy_version_id,policy_id,version_number,change_reason,effective_date,expiration_date,term_premium_amount,garaging_state
PV-00001,POL-0001,1,new_business,2023-12-21,2024-02-02,632.01,NM
PV-00002,POL-0001,2,endorsement_add_driver,2024-02-02,2024-06-20,870.97,NM
PV-00003,POL-0001,3,renewal,2024-06-20,2024-12-19,907.29,UT
PV-00004,POL-0002,1,new_business,2024-04-10,2024-06-03,656.82,CO
PV-00005,POL-0002,2,endorsement_coverage_change,2024-06-03,2024-10-09,1323.42,NM
PV-00006,POL-0003,1,new_business,2024-01-23,2024-07-23,1295.77,TX
PV-00007,POL-0004,1,new_business,2024-01-19,2024-07-19,1063.23,UT
PV-00008,POL-0005,1,new_business,2023-08-05,2023-10-21,599.86,NM
PV-00009,POL-0005,2,endorsement_coverage_change,2023-10-21,2024-02-03,701.24,CO
PV-00010,POL-0005,3,renewal,2024-02-03,2024-08-03,1103.12,AZ
PV-00011,POL-0006,1,new_business,2023-09-05,2024-01-07,974.1,UT
PV-00012,POL-0006,2,endorsement_coverage_change,2024-01-07,2024-03-05,1003.38,TX
PV-00013,POL-0007,1,new_business,2024-06-06,2024-12-05,1191.11,UT
PV-00014,POL-0008,1,new_business,2024-01-27,2024-06-15,1220.21,AZ
PV-00015,POL-0008,2,endorsement_address_change,2024-06-15,2024-07-27,1225.76,UT
PV-00016,POL-0008,3,renewal,2024-07-27,2025-01-25,761.85,CO
PV-00017,POL-0009,1,new_business,2023-11-13,2024-05-13,1016.74,AZ
PV-00018,POL-0010,1,new_business,2024-04-01,2024-09-30,1150.19,TX
PV-00019,POL-0010,2,renewal,2024-09-30,2025-03-31,1255.61,AZ
PV-00020,POL-0011,1,new_business,2024-02-01,2024-06-05,1034.74,AZ
PV-00021,POL-0011,2,endorsement_add_driver,2024-06-05,2024-08-01,1026.33,AZ
PV-00022,POL-0012,1,new_business,2023-08-13,2024-02-11,1080.66,NM
PV-00023,POL-0013,1,new_business,2023-11-03,2024-02-19,882.65,NM
PV-00024,POL-0013,2,endorsement_add_driver,2024-02-19,2024-05-03,1103.24,CO
PV-00025,POL-0013,3,renewal,2024-05-03,2024-11-01,883.64,UT
PV-00026,POL-0014,1,new_business,2023-11-04,2024-01-08,910.37,TX
PV-00027,POL-0014,2,endorsement_address_change,2024-01-08,2024-05-04,753.72,NM
PV-00028,POL-0014,3,renewal,2024-05-04,2024-11-02,653.26,UT
PV-00029,POL-0015,1,new_business,2024-04-25,2024-05-27,811.36,CO
PV-00030,POL-0015,2,endorsement_address_change,2024-05-27,2024-10-24,864.04,CO
PV-00031,POL-0015,3,renewal,2024-10-24,2025-04-24,957.42,UT
PV-00032,POL-0016,1,new_business,2023-10-17,2024-03-07,714.34,UT
PV-00033,POL-0016,2,endorsement_coverage_change,2024-03-07,2024-04-16,515.19,CO
PV-00034,POL-0017,1,new_business,2024-04-14,2024-07-12,693.43,AZ
PV-00035,POL-0017,2,endorsement_address_change,2024-07-12,2024-10-13,997.01,UT
PV-00036,POL-0017,3,renewal,2024-10-13,2025-04-13,1020.39,CO
PV-00037,POL-0018,1,new_business,2024-03-07,2024-09-05,1362.75,UT
PV-00038,POL-0019,1,new_business,2023-11-15,2024-04-12,714.98,UT
PV-00039,POL-0019,2,endorsement_add_driver,2024-04-12,2024-05-15,913.17,AZ
PV-00040,POL-0020,1,new_business,2023-08-13,2024-02-11,836.11,NM
